dchi1	chi2	P	F
1.001	0.999091317241541	1	0.381355542936595
1.0060404040404	0.99453602074896	1	2.28713732308627
1.01108080808081	0.990021804496414	1	4.16610216078142
1.01612121212121	0.985548180677327	1	6.01899533105579
1.02116161616162	0.981114668108983	1	7.846539072432
1.02620202020202	0.976720792154194	1	9.64943336903795
1.03124242424242	0.972366084642504	1	11.428356703599
1.03628282828283	0.968050083791047	1	13.1839667824489
1.04132323232323	0.963772334125147	1	14.9169012336741
1.04636363636364	0.959532386398794	1	16.627778279531
1.05140404040404	0.955329797515055	1	18.3171973840754
1.05644444444444	0.951046367015212	1.00143825664438	19.4576545914982
1.06148484848485	0.946715121300674	1.00393862858187	20.194104407916
1.06652525252525	0.942412127368733	1.00657690258466	20.8685558211833
1.07156565656566	0.938136744745488	1.00935807471792	21.4803956619064
1.07660606060606	0.933888458212133	1.01228575377334	22.0295530775402
1.08164646464646	0.929666900543692	1.01536181063795	22.5166101453426
1.08668686868687	0.92547186968743	1.01858608234716	22.9428868202776
1.09172727272727	0.921303337017358	1.02195617799639	23.3104842774096
1.09676767676768	0.917161443996547	1.02546742782358	23.6222738978093
1.10180808080808	0.913046486077273	1.0291129997997	23.8818261270865
1.10684848484848	0.90895888473369	1.03288418213371	24.0932831116133
1.11188888888889	0.904899150594482	1.03677080194376	24.2611887823057
1.11692929292929	0.900867842132268	1.04076172782002	24.3902971278626
1.1219696969697	0.896865524830247	1.04484539372341	24.4853816877262
1.1270101010101	0.892892735135229	1.04901028546674	24.551066541946
1.1320505050505	0.888949952112396	1.05324534615939	24.591692628433
1.13709090909091	0.885037578058314	1.0575402772026	24.6112254915196
1.14213131313131	0.881155927839279	1.06188573099259	24.6132035930598
1.14717171717172	0.877305225698854	1.06627340604318	24.6007214994888
1.15221212121212	0.873485607773676	1.07069606351815	24.5764398518943
1.15725252525253	0.869697128486044	1.07514748677013	24.5426136486971
1.16229292929293	0.865939769191853	1.07962240412684	24.5011313112838
1.16733333333333	0.862213447804837	1.08411639167694	24.4535585713375
1.17237373737374	0.858518028483348	1.0886257686338	24.4011829036352
1.17741414141414	0.854853330789933	1.09314749391056	24.3450557293846
1.18245454545455	0.851219137990752	1.09767906926967	24.2860308069106
1.18749494949495	0.847615204346671	1.10221845193998	24.2247980890266
1.19253535353535	0.844041261371857	1.10676397786573	24.1619129049865
1.19757575757576	0.840497023110774	1.11131429562938	24.0978206785285
1.20261616161616	0.836982190525234	1.11586831042228	24.0328775864558
1.20765656565657	0.833496455099318	1.1204251370943	23.9673676428337
1.21269696969697	0.830039501776479	1.12498406115223	23.9015167205808
1.21773737373737	0.826611011328795	1.12954450661976	23.8355039721709
1.22277777777778	0.823210662258768	1.13410600967417	23.7694710977642
1.22781818181818	0.819838132313278	1.13866819713314	23.7035298287442
1.23285858585859	0.816493099681633	1.14323076895651	23.6377679533066
1.23789898989899	0.813175243937052	1.14779348405453	23.5722541554571
1.24293939393939	0.809884246770919	1.15235614880341	23.5070418931841
1.2479797979798	0.8066197925604	1.15691860776855	23.442172501536
1.2530202020202	0.803381568802509	1.16148073622155	23.3776776722837
1.25806060606061	0.800169266441486	1.16604243411122	23.3135814333397
1.26310101010101	0.79698258011119	1.17060362121036	23.2499017275127
1.26814141414141	0.793821208309956	1.17516423321201	23.1866516708433
1.27318181818182	0.790684853521957	1.17972421859104	23.1238405549728
1.27822222222222	0.787573222296266	1.18428353608247	23.0614746452458
1.28326262626263	0.78448602529262	1.18884215265582	22.9995578159091
1.28830303030303	0.781422977301023	1.19340004188864	22.9380920554749
1.29334343434343	0.778383797240896	1.19795718266066	22.8770778686557
1.29838383838384	0.775368208144335	1.20251355810567	22.8165145959341
1.30342424242424	0.772375937127054	1.20706915477046	22.7564006675609
1.30846464646465	0.769406715349911	1.2116239619397	22.6967338053735
1.31350505050505	0.766460277973263	1.21617797109449	22.6375111830635
1.31854545454545	0.763536364105979	1.22073117547782	22.5787295534292
1.32358585858586	0.760634716750504	1.22528356974588	22.520385349324
1.32862626262626	0.75775508274473	1.2298351496928	22.462474762318
1.33366666666667	0.754897212703717	1.23438591201151	22.4049938108932
1.33870707070707	0.752060860956976	1.23893585413342	22.3479383842593
1.34374747474747	0.749245785488024	1.24348497407228	22.2913042858601
1.34878787878788	0.746451747872324	1.24803327031109	22.2350872638123
1.35382828282828	0.743678513215571	1.25258074170918	22.1792830355687
1.35886868686869	0.740925850092315	1.25712738742777	22.123887307302
1.36390909090909	0.738193530485125	1.26167320687014	22.0688957890902
1.36894949494949	0.735481329724445	1.26621819963373	22.0143042067686
