dchi1	chi2	P	F
1.001	0.999091317241541	1	0.381355542936595
1.0060404040404	0.99453602074896	1	2.28713732308627
1.01108080808081	0.990021804496414	1	4.16610216078142
1.01612121212121	0.985548180677327	1	6.01899533105579
1.02116161616162	0.981114668108983	1	7.846539072432
1.02620202020202	0.976720792154194	1	9.64943336903795
1.03124242424242	0.972366084642504	1	11.428356703599
1.03628282828283	0.968050083791047	1	13.1839667824489
1.04132323232323	0.963772334125147	1	14.9169012336741
1.04636363636364	0.959532386398794	1	16.627778279531
1.05140404040404	0.955329797515055	1	18.3171973840754
1.05644444444444	0.950943682512039	1.00269292112763	18.9978797298987
1.06148484848485	0.946452931542317	1.00717146681565	19.018448868504
1.06652525252525	0.94200480867358	1.01164488296968	19.0396735519699
1.07156565656566	0.937598711332884	1.01611315185332	19.0615407448621
1.07660606060606	0.933234048230627	1.02057625601229	19.0840376514818
1.08164646464646	0.928910239097757	1.02503417827361	19.1071517106068
1.08668686868687	0.924626714430277	1.02948690174482	19.1308705903697
1.09172727272727	0.92038291524084	1.0339344098131	19.1551821832776
1.09676767676768	0.916178292817187	1.03837668614438	19.1800746013726
1.10180808080808	0.912012308487217	1.04281371468245	19.2055361715184
1.10684848484848	0.907884433390471	1.04724547964802	19.2315554308128
1.11188888888889	0.903794148255838	1.05167196553773	19.2581211221245
1.11692929292929	0.899740943185272	1.05609315712323	19.2852221897493
1.1219696969697	0.895724317443341	1.0605090394501	19.3128477751768
1.1270101010101	0.891743779252425	1.06491959783687	19.3409872129702
1.1320505050505	0.887798845593377	1.06932481787395	19.3696300267533
1.13709090909091	0.883889042011493	1.07372468542252	19.3987659253017
1.14213131313131	0.880013902427549	1.07811918661346	19.4283847986103
1.14717171717172	0.876172968954203	1.08250830784641	19.4584767147839
1.15221212121212	0.872365791716285	1.08689203578814	19.4890319152687
1.15725252525253	0.868591928676966	1.09127035737192	19.520040812394
1.16229292929293	0.864850945467633	1.09564325979607	19.5514939854945
1.16733333333333	0.861142415222437	1.10001073052278	19.5833821775888
1.17237373737374	0.857465918417098	1.10437275727695	19.6156962921385
1.17741414141414	0.853821042711837	1.10872932804491	19.6484273898638
1.18245454545455	0.850207382798337	1.11308043107307	19.6815666856733
1.18749494949495	0.846624540250666	1.11742605486642	19.7151055458296
1.19253535353535	0.843072123379312	1.12176618818973	19.7490354833981
1.19757575757576	0.839549747090815	1.1261008200604	19.7833481589906
1.20261616161616	0.836057032748215	1.13042993975339	19.8180353741008
1.20765656565657	0.8325936080371	1.13475353679661	19.853089070348
1.21269696969697	0.829159106834137	1.13907160097027	19.8885013263955
1.21773737373737	0.825753169079005	1.14338412230544	19.9242643553253
1.22277777777778	0.8223754406495	1.14769109108272	19.9603705020893
1.22781818181818	0.819025573239713	1.1519924978308	19.9968122410118
1.23285858585859	0.8157032242412	1.15628833332507	20.0335821733543
1.23789898989899	0.812408056627045	1.16057858858616	20.0706730249351
1.24293939393939	0.809139738838755	1.16486325487851	20.1080776438059
1.2479797979798	0.805897944675884	1.1691423237089	20.14578899798
1.2530202020202	0.802682353188326	1.17341578682503	20.1838001732128
1.25806060606061	0.799492648571195	1.17768363621395	20.2221043708372
1.26310101010101	0.796328520062224	1.18194586410063	20.2606949056409
1.26814141414141	0.793189661841603	1.18620246294646	20.2995652037979
1.27318181818182	0.790075772934201	1.19045342544767	20.3387088008427
1.27822222222222	0.786986557114101	1.19469874453389	20.3781193396916
1.28326262626263	0.783921722811378	1.19893841336653	20.4177905687055
1.28830303030303	0.780880983021074	1.20317242533729	20.4577163398048
1.29334343434343	0.777864055214288	1.20740077406658	20.4978906066097
1.29838383838384	0.774870661251351	1.21162345340198	20.5383074226334
1.30342424242424	0.771900527297003	1.21584045741661	20.5789609395163
1.30846464646465	0.768953383737533	1.22005178040758	20.6198454052889
1.31350505050505	0.766028965099828	1.22425741689445	20.6609551626741
1.31854545454545	0.763127009972278	1.22845736161753	20.7022846474433
1.32358585858586	0.760247260927484	1.23265160953634	20.7438283867739
1.32862626262626	0.757389464446469	1.23684015583033	20.7855809968384
1.33366666666667	0.754553370845777	1.24102299588899	20.8275371842115
1.33870707070707	0.751738734204075	1.24520012532139	20.8696917403283
1.34374747474747	0.748945312292383	1.24937153994777	20.9120395424421
1.34878787878788	0.746172866504948	1.25353723579945	20.9545755515998
1.35382828282828	0.743421161791837	1.25769720911722	20.9972948112133
1.35886868686869	0.740689966593025	1.26185145634968	21.0401924456576
1.36390909090909	0.737979052773947	1.26599997415158	21.0832636588989
1.36894949494949	0.735288195562472	1.27014275938219	21.1265037331537
