E1	F	lambda
1	0	-100.0999000999
1.05050505050505	0.0938307077130071	-99.8603697772466
1.1010101010101	0.174399385026661	-98.9722366352565
1.15151515151515	0.243362675946225	-97.2946031757203
1.2020202020202	0.30208243097647	-94.7026820001894
1.25252525252525	0.35171245281978	-91.0945133601028
1.3030303030303	0.393257650138673	-86.3963966370113
1.35353535353535	0.427613224902577	-80.5667726644189
1.4040404040404	0.455589646426966	-73.5984482438095
1.45454545454545	0.477927829561488	-65.5191794420697
1.5050505050505	0.49530789199878	-56.3907156337225
1.55555555555556	0.508354004523747	-46.3064555173854
1.60606060606061	0.517637127440884	-35.3878923989063
1.65656565656566	0.523676836307136	-23.7800439129617
1.70707070707071	0.526942977247275	-11.6460821237465
1.75757575757576	0.527857549199428	0.83859261396537
1.80808080808081	0.526796973383204	13.4925602537609
1.85858585858586	0.524094760158288	26.1345738560691
1.90909090909091	0.520044499617272	38.5894300961727
1.95959595959596	0.514903065276167	50.6932270505105
2.01010101010101	0.508893913618662	62.2977622165944
2.06060606060606	0.502210373263169	73.2738914829197
2.11111111111111	0.495018837052505	83.5137537450132
2.16161616161616	0.487461792435398	92.9318548334689
2.21212121212121	0.479660646557951	101.465086773717
2.26262626262626	0.471718320680601	109.071824598517
2.31313131313131	0.463721603189676	115.730287109218
2.36363636363636	0.455743261578092	121.436368420656
2.41414141414141	0.447843921690485	126.201145798185
2.46464646464646	0.440073727785768	130.04825073724
2.51515151515152	0.432473800116121	133.011260204674
2.56565656565657	0.425077508267435	135.131229236246
2.61616161616162	0.417911578891445	136.454449605427
2.66666666666667	0.410997056041901	137.030485689087
2.71717171717172	0.404350131385437	136.910510206323
2.76767676767677	0.397982860302834	136.145940207324
2.81818181818182	0.39190377848175	134.78735759303
2.86868686868687	0.38611843213582	132.883687970639
2.91919191919192	0.380629833540404	130.481605865715
2.96969696969697	0.375438852199291	127.62513217015
3.02020202020202	0.370544550677132	124.355390193904
3.07070707070707	0.365944472963646	120.710488921103
3.12121212121212	0.361634892182807	116.725505328286
3.17171717171717	0.357611023521979	112.432541357583
3.22222222222222	0.353867207427303	107.860834960672
3.27272727272727	0.350397067385103	103.0369082828
3.32323232323232	0.347193645976119	97.9847393857138
3.37373737373737	0.344249522340877	92.7259468364108
3.42424242424242	0.341556913721689	87.2799789913785
3.47474747474747	0.339107763340908	81.6643018944051
3.52525252525253	0.3368938165282	75.8945814123813
3.57575757575758	0.334906686714443	69.9848566006384
3.62626262626263	0.333137912659513	63.9477023641898
3.67676767676768	0.331579008069931	57.7943803100251
3.72727272727273	0.330221504584439	51.5349773113592
3.77777777777778	0.329056988956525	45.178531765887
3.82828282828283	0.328077135138314	38.7331478598602
3.87878787878788	0.327273731866498	32.206098376333
3.92929292929293	0.326638706264766	25.6039167325315
3.97979797979798	0.326164143905764	18.9324790170558
4.03030303030303	0.325842305716445	12.197076837853
4.08080808080808	0.325665642061744	5.40248179879411
4.13131313131313	0.325626804300929	-1.44699759417693
4.18181818181818	0.32571865407735	-8.3474658295617
4.23232323232323	0.325934270574195	-15.2953963655923
4.28282828282828	0.326266955945288	-22.2875930105959
4.33333333333333	0.326710239110024	-29.3211560881218
4.38383838383838	0.327257878084452	-36.3934528207066
4.43434343434343	0.327903861005747	-43.5020914194956
4.48484848484848	0.328642405994318	-50.6448984182878
4.53535353535354	0.329467959986282	-57.8198988391662
4.58585858585859	0.330375196658599	-65.0252988222511
4.63636363636364	0.33135901355967	-72.2594703940285
4.68686868686869	0.332414528549398	-79.5209380870879
4.73737373737374	0.333537075644551	-86.8083671589627
4.78787878787879	0.334722200357558	-94.1205531892464
4.83838383838384	0.335965654609639	-101.4564128624
4.88888888888889	0.337263391292323	-108.814975768879
4.93939393939394	0.338611558544905	-116.195377079633
4.98989898989899	0.340006493809234	-123.596850968838
5.04040404040404	0.341444717717433	-131.018724677209
5.09090909090909	0.342922927862617	-138.460413123582
5.14141414141414	0.344437992497514	-145.921413985864
5.19191919191919	0.345986944201031	-153.401303184138
5.24242424242424	0.34756697354823	-160.899730708885
5.29292929292929	0.349175422814951	-168.416416746049
5.34343434343434	0.350809779744372	-175.951148058265
5.39393939393939	0.352467671399119	-183.503774588084
5.44444444444444	0.354146858119226	-191.074206254592
5.49494949494949	0.355845227603115	-198.662409919591
5.54545454545455	0.357560789125973	-206.268406503531
5.5959595959596	0.359291667907349	-213.892268234827
5.64646464646465	0.361036099637483	-221.534116019037
5.6969696969697	0.362792425169767	-229.194116916824
5.74747474747475	0.364559085384916	-236.872481721609
5.7979797979798	0.366334616230747	-244.569462629499
5.84848484848485	0.368117643939981	-252.285350995453
5.8989898989899	0.36990688042721	-260.02047517075
5.94949494949495	0.371701118865025	-267.775198417761
6	0.373499229438327	-275.549916898735
