1.00115384615385	14682278840602.4	-10532984420332.8	-46779876978138.2	-122684495586814	-261486536845233
1.00123076923077	14682164106744.6	-10519814618309.1	-46725737923811.9	-122557208291209	-261246623088198
1.00130769230769	14682049502165.3	-10506659524997.3	-46671658307881.4	-122430056995302	-261006956741531
1.00138461538462	14681935026726.2	-10493519124365.5	-46617638065888.7	-122303041552811	-260767537542073
1.00146153846154	14681820680289.6	-10480393400407.1	-46563677133470	-122176161817673	-260528365227031
1.00153846153846	14681706462717.5	-10467282337126.5	-46509775446312	-122049417643938	-260289439533825
1.00161538461538	14681592373872.2	-10454185918547.7	-46455932940178	-121922808885810	-260050760200150
1.00169230769231	14681478413616.3	-10441104128711.3	-46402149550897.1	-121796335397663	-259812326964019
1.00176923076923	14681364581812.4	-10428036951671	-46348425214351.3	-121669997033976	-259574139563618
1.00184615384615	14681250878323.1	-10414984371502.7	-46294759866507.9	-121543793649458	-259336197737529
1.00192307692308	14681137303011.3	-10401946372293.5	-46241153443391.7	-121417725098871	-259098501224515
1.002	14681023855740.1	-10388922938151.1	-46187605881088.6	-121291791237205	-258861049763604
1.00207692307692	14680910536372.6	-10375914053195.7	-46134117115764.1	-121165991919574	-258623843094165
1.00215384615385	14680797344772	-10362919701569.2	-46080687083640.8	-121040327001237	-258386880955796
1.00223076923077	14680684280802	-10349939867425.4	-46027315721011.7	-120914796337599	-258150163088364
1.00230769230769	14680571344325.9	-10336974534937.1	-45974002964227	-120789399784231	-257913689231951
1.00238461538462	14680458535207.4	-10324023688290.9	-45920748749714.2	-120664137196846	-257677459127021
1.00246153846154	14680345853310.6	-10311087311694.1	-45867553013964.7	-120539008431307	-257441472514217
1.00253846153846	14680233298499.2	-10298165389368.2	-45814415693536.1	-120414013343626	-257205729134507
1.00261538461538	14680120870637.5	-10285257905548.9	-45761336725045.6	-120289151789952	-256970228729050
1.00269230769231	14680008569589.6	-10272364844491	-45708316045176.7	-120164423626600	-256734971039332
1.00276923076923	14679896395220.1	-10259486190466.1	-45655353590688	-120039828710040	-256499955807115
1.00284615384615	14679784347393.4	-10246621927759.5	-45602449298391.2	-119915366896844	-256265182774385
1.00292307692308	14679672425974.1	-10233772040676	-45549603105177.7	-119791038043818	-256030651683431
1.003	14679560630827.2	-10220936513535.2	-45496814947998.5	-119666842007835	-255796362276805
1.01189743589744	14667446921563.2	-8829159364458.89	-39766384737258.5	-106160917979164	-230261495599755
1.02079487179487	14656825547653.5	-7606689503557.52	-34720672853690.9	-94223694590903.9	-207585329023042
1.02969230769231	14647521302659.1	-6533300034624.14	-30278323710233.9	-83670441763762.9	-187435272162544
1.03858974358974	14639378769686.1	-5591102600643.5	-26367371218710.2	-74337688323968.2	-169516858103894
1.04748717948718	14632260241860	-4764293282584.42	-22924218855846.4	-66080913917304.9	-153569607199485
1.05638461538462	14626043828841.4	-4038922628111.48	-19892716654588.8	-58772460526490.6	-139363285057757
1.06528205128205	14620621740013.8	-3402688306643.75	-17223329058386.5	-52299649770971.8	-126694529704973
1.07417948717949	14615898733564.4	-2844748780181.77	-14872387153155.9	-46563091236173.1	-115383821291235
1.08307692307692	14611790719902.3	-2355556341165.68	-12801418643744.8	-41475166764628.6	-105272767197437
1.09197435897436	14608223507574.4	-1926707880972.52	-10976548995737.2	-36958675779158.3	-96221675687141.1
1.10087179487179	14605131679906	-1550811801183.3	-9367967361343.2	-32945627169309.4	-88107392103197.2
1.10976923076923	14602457590919.9	-1221369552655.58	-7949451203455.29	-29376163949596.5	-80821372848784.6
1.11866666666667	14600150469588	-932670376145.928	-6697943890096.95	-26197607716808.1	-74267973875923.8
1.1275641025641	14598165622085.9	-679697915854.838	-5593179924703.64	-23363610828514	-68362932024350.7
1.13646153846154	14596463722403.5	-458047478832.837	-4617352886582.22	-20833405154826.1	-63032019229034.4
1.14535897435897	14595010182376.3	-263852815012.459	-3754821565442.14	-18571137185014.8	-58209851288532.7
1.15425641025641	14593774592922.7	-93721392054.4937	-2991850173465.48	-16545280177259.9	-53838834516173.7
1.16315384615385	14592730228977.4	55322765390.8735	-2316378901744.22	-14728114908356.4	-49868235156192.3
1.17205128205128	14591853611288.1	185889512467.978	-1717821449206.28	-13095271399028.1	-46253357916272.9
1.18094871794872	14591124118888.1	300267053243.494	-1186886489999.41	-11625324755172.6	-42954821339790
1.18984615384615	14590523646658.2	400461120765.747	-715420357389.409	-10299438972088.2	-39937919007006.1
1.19874358974359	14590036302952.8	488229475161.248	-296268508941.469	-9101053197103.79	-37172056717498.8
1.20764102564103	14589648142780.3	565112261752.383	76846400658.3444	-8015605538136.13	-34630256865384.3
1.21653846153846	14589346932500.6	632458711942.806	409431775441.811	-7030290042080.27	-32288722180169
1.2254358974359	14589121942432.8	691450616250.157	706319384428.953	-6133842952535.53	-30126451874267.7
1.23433333333333	14588963764157.5	743122950526.601	971748246698.141	-5316354792843.99	-28124904020762.4
1.24323076923077	14588864149648.8	788381993407.253	1209437450661.39	-4569105212058.79	-26267698684161.2
1.25212820512821	14588815869691.6	828021234113.151	1422650107202.13	-3884417883186.34	-24540356956828.3
1.26102564102564	14588812589323.1	862735335349.088	1614249498349.91	-3255533054636.12	-22930071611312.1
1.26992307692308	14588848758293.2	893132385114.534	1786748359086.41	-2676495636498.86	-21425505579982.2
1.27882051282051	14588919514768.4	919744643967.625	1942352120575.5	-2142056950166.77	-20016614915205.3
1.28771794871795	14589020600706.2	943037969844.777	2082996845124.26	-1647588490837.3	-18694493278816.1
1.29661538461538	14589148287510	963420081048.563	2210382496936.39	-1189006247821.43	-17451235358102.7
1.30551282051282	14589299310734.2	981247798851.367	2326002115981.19	-762704300400.767	-16279816915049.5
1.31441025641026	14589470812755.6	996833394267.957	2431167394496.61	-365496560377.491	-15173989449939.1
1.32330769230769	14589660292452	1010450148610.58	2527031095751.7	5434332190.49527	-14128187701373.8
1.33220512820513	14589865561043.5	1022337224241.56	2614606701819.33	352581834295.213	-13137448418994.1
1.34110256410256	14590084703350.9	1032703930246.87	2694785630201.2	678154814700.358	-12197339034278.9
1.35	14590316043815.2	1041733457551.39	2768352318257.19	984112033608.519	-11303895019406.8
